"05-12-2025","Physical Inventory Report by Department","","Raleigh","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Department","Class","Product Number","Product Description","Product Division","QOH Before","QOH After","Cost Before","Cost After","Count Variance","Cost Variance","QA","QOO","Zone","Shelf","Bin","Aisle","Reorder"
"Siding","Special Order","NSSO01426","5/4X6 SNOW","","2","2","44.00","44.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01435","8' Tapered columns round fiberglass with a 12"" Base","","2","2","518.66","518.66","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01458","36"" X 4' Black alumn stair rails ection w/brackets","","2","2","341.60","341.60","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01461","3""x5""x43"" ' Black post w/cap & base","","9","9","823.50","823.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01474","2"" STRAIGHT FINISH NAILS","","80","80","720.00","720.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01536","Mastic Ovation Dutch lap 4.5 Scottish thistle","","37","37","2337.29","2337.29","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01601","EZTRM 2PC VRT U PNL TRM PRI EZ07","","37","37","882.45","882.45","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01602","EZTRM VRT J WND SILL PNL TRM PRI EZ08","","11","11","141.46","141.46","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01603","EXTRM OSCNR LAP TRM ARRW PRI EZ33","","12","12","383.16","383.16","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01718","ROLL SCREEN 72""X100'","","1","1","95.82","95.82","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01744","1x6x8 T&G","","11","11","11.00","11.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01745","1x6x10 T&G","","11","11","11.00","11.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01746","1x6x12 T&G","","11","11","11.00","11.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01747","1x6x14 T&G","","11","11","11.00","11.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01876","8X8X10 SQ
LamintedTreated","","2","2","353.00","353.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01888","8X8X10 SQ Laminted
Treated","","1","1","176.50","176.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO02192","8' Tappered columns round
fiberglass with a 12"" Base","","1","1","259.33","259.33","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO02260","CEDAR PEDIMENT 18/12 PITCH 6.6' BASE - VERTICAL & HORIZONTAL PC WILL BE 6"" AND SPOKES 4"" 
EXTENDED CAP IS 4"" IN HEIGHT","","1","1","345.00","345.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO02261","CEDAR PEDIMENT 18/12 PITCH 8' BASE - VERTICAL & HORIZONTAL PC WILL BE 6"" AND SPOKES 4"" 
EXTENDED CAP IS 4"" IN HEIGHT","","2","2","690.00","690.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO02357","2 MIL 12x200 Poly","","60","60","2037.00","2037.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO02445","134Roofnail","","1","1","47.99","47.99","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO02670","134RoofNails","","1","1","47.99","47.99","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO02727","36"" X 4' CLASSIC SERIES RAIL SECTION W/ BRACKETS","","1","1","73.20","73.20","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO03280","10""X9 Permacast RD Plain
Column Sha","","3","3","618.90","618.90","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO03384","10""X10'FG RND COLUMN","","4","4","913.08","913.08","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO03385","10"" CAP & BASE","","4","4","231.28","231.28","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO03430","1x8x12 Cedar","","30","30","954.00","954.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO03651","4x4x10 Post","","2","2","99.98","99.98","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO03652","A23 Bracket","","4","4","31.96","31.96","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO03905","1x6x8 T&G","","5","5","54.00","54.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO03915","CLASSIC 6' STAIR RAIL SECTION WITH BRACKETS","","1","1","105.53","105.53","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO04000","5/8""x4x8 pvc panel","","1","1","113.03","113.03","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO04042","36x8' Black Aluminum Stair Rail","","1","1","10.00","10.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO04728","3x131 stainless framing nails","","2","2","170.00","170.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO04731","ABU44Z - Adjustable Post Base for 4x4","","4","4","20.00","20.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO04939","Set 10"" Cap & Base for
permacas","","3","3","173.46","173.46","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO04979","SYN109","","3","3","667.17","667.17","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO04980","SYN10CB","","3","3","216.84","216.84","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO04983","SYN109","","3","3","667.17","667.17","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO04984","SYN10CB","","3","3","216.84","216.84","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO05283","Mastic Ovation Dutchlap 4.5 Siding - Everest","","11","11","74.69","74.69","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO05547","5/4x8 Allura trim primed","","12","12","337.32","337.32","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO05806","1x6x16 pressure treated wood","","75","75","225.00","225.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06044","Mastic Ovation D4.5 DL (Deep Granite)","","1","1","8.20","8.20","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06055","1x4 Cedar","","12","12","180.00","180.00","0","0","0","12","","","","","No"
"Siding","Special Order","NSSO06057","1x6 Cedar","","12","12","252.00","252.00","0","0","0","12","","","","","No"
"Siding","Special Order","NSSO06058","1x8x10 Cedar","","12","12","282.00","282.00","0","0","0","12","","","","","No"
"Siding","Special Order","NSSO06219","Wall 1 - 107 5/8","","1","1","506.00","506.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06227","Wall 2 - 107 1/8”","","1","1","506.00","506.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06228","Wall 3 - 107 1/8”","","1","1","506.00","506.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06233","Wall 1 - 107 1/8”","","1","1","506.00","506.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06234","Wall 2 - 107 1/2”","","1","1","506.00","506.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06235","Wall 3 - 107 5/8”","","1","1","506.00","506.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06236","Wall 4 - 107 3/4”","","1","1","506.00","506.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06237","Wall 1 - 107 1/16”","","1","1","506.00","506.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06238","Wall 2 - 106 1/2”","","1","1","506.00","506.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06239","Wall 3 - 106”","","1","1","506.00","506.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06240","Wall 4 - 107 1/2”","","1","1","506.00","506.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06443","Allura Plank 8.25 Cedar Lap Colormax Sterling Gray SDG","","300","300","2970.00","2970.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06531","Custom Flashing | 24GA SCLAD Almond | 10' Section","","7","7","395.50","395.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06544","Bracket kit","","2","2","35.00","35.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06558","1-1/2” pins Galv  976224  Knurled collated  w/o fuel cell","","1","1","83.60","83.60","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06578","Custom Trim | 24 GA SCLAD Almond | 10' Section","","12","12","419.40","419.40","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06889","36"" x 6' Black Alum Rail Section w/ Brackets","","2","2","347.70","347.70","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06890","36"" x 8' Black Alum Rail Section w/ Brackets","","1","1","222.65","222.65","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06891","36"" x 10' Black Alum Rail Section w/ Brackets","","1","1","268.40","268.40","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06915","Bracket 16x10x4","","2","2","0.02","0.02","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO06917","Custom Trim - 24GA SCLAD Almond 10' Section","","85","85","2290.75","2290.75","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07061","Profile #3 | 24GA Almond | 10' Section","","3","3","151.50","151.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07062","Profile #5-A | 24GA Almond | 10' Section","","3","3","151.35","151.35","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07063","Profile #4  | 24GA Almond | 10' Section","","3","3","206.25","206.25","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07064","Profile #6  | 24GA Almond | 10' Section","","3","3","167.85","167.85","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07065","Profile #7  | 24GA Almond | 10' Section","","40","40","1236.00","1236.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07066","Profile #8  | 24GA Almond | 10' Section","","40","40","758.00","758.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07067","Profile #12-A  | 24GA Almond | 10' Section","","17","17","557.60","557.60","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07068","Profile #16-A  | 24GA Almond | 10' Section","","72","72","1533.60","1533.60","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07069","Profile #16-B  | 24GA Almond | 10' Section","","69","69","1469.70","1469.70","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07077","Profile #14 | 24GA | 10' section","","77","77","1305.15","1305.15","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07078","Profile #15 | 24GA | 10' section","","77","77","3099.25","3099.25","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07299","EZ.20","","190","190","5158.50","5158.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO07632","Custom Trim | 24Ga SCLAD Almond | 10' Section","","2","2","228.80","228.80","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO08219","GPF 8' Base - spoked - 10/12 -4""","","1","1","208.00","208.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO08339","1x4x14' T&G","","2","2","0.02","0.02","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO08343","Custom Trim | 24GA SCLAD Almond","","20","20","702.00","702.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO08396","Gable Pediment - 8' Base 12/14 Pitch - Spoked -  6"" Spoked","","3","3","624.00","624.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO08865","2 Boxes of 3"" x. 131""
Stainless Steel Rng
item number -
JASR10D131SS","","2","2","170.00","170.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO08890","House Wrap 1-7/8""x165'","","1","1","27.00","27.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO08902","Brad 2in Leg 16ga EG Chisel Spotnails 16GA Finish","","40","40","414.00","414.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO08903","Nail 1-3/4 X .092 Eg Ring Dia 6.8mm pitch Round head coil wire","","12","12","414.00","414.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO09148","36"" x 6' Black Alumn Rail Section w/ Brackets","","3","3","521.55","521.55","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO09150","3""x3""x42"" Black post w/cap & base","","3","3","274.50","274.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO09193","36"" x 8' Classic Series rail Section w/Brackets","","1","1","117.73","117.73","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO09196","Vinyl White Trim collar","","10","10","58.80","58.80","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO09564","House wrap tape 1-7/8""x65' ""zip tape""","","1","1","35.00","35.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO09678","2"" Finish","","20","20","180.00","180.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO09679","1-3/4"" Siding 15 deg coil","","8","8","300.40","300.40","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO09747","Tamlyn XZS5146W Basic Horizontal Z Trim","","1","1","21.00","21.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO09821","3-3/4” x 90’ zip tape item 87415","","144","144","4917.60","4917.60","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO10230","Nail 2-1/4"" X092 HDG Ring Diamond","","6","6","280.20","280.20","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO10260","Trim| 5op| 8"" Max
24GA Sentriclad Almond

Profile #21 - 35 PCS (6""0
Profile #23 - 35 PCS (9.4"")","","70","70","2122.40","2122.40","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO10261","Trim| 3op| 16"" Max
24GA Sentriclad Almond

Profile #8 - 10 PCS (3"")
Profile #7 - 10 PCS (6.5"")
Profile #17 - 5 PCS (18"")","","25","25","872.75","872.75","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO10363","1x4x12 FRT","","50","50","660.00","660.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO10429","14X24 J4 SHUTTERS- BLACK","","1","1","0.01","0.01","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO10693","1X6 PVC GABLE PEDIMENT 4'' SPOKED 1212 PITCH NO TAIL","","2","2","320.00","320.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO10802","1x6x14 Pine T&G","","4","4","75.60","75.60","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO10832","TerraPlank Smooth Lap 6-1/4 Primed","","3080","3080","14383.60","14383.60","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO10833","TerraPlank Smooth Lap 6-1/4","","3080","3080","14383.60","14383.60","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO11228","1X6X12 CEDAR","","1","1","14.45","14.45","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO11377","Nail 2in X .092 Eg Ring Dia","","5","5","423.25","423.25","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO11604","Timberbark caulking (10 cases)","","9","9","1135.08","1135.08","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO11605","Cobblestone caulking (10 Cases)","","9","9","1135.08","1135.08","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO11770","VENT STRIPS","","15","15","0.15","0.15","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO11817","4x4x8 Cedar","","3","3","0.03","0.03","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO12363","Dark Bronze Trim Coil","","10","10","1125.00","1125.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO12584","8x8x10 Treated Sq Column","","1","1","120.98","120.98","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO12607","CDR Panels 4x10","","6","6","469.20","469.20","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO12956","Primed Allura Trim 5/4x6","","319","319","4740.34","4740.34","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO13181","REVERSIBLE PRIMED ALLURA TRIM 5/4x6","","119","119","1768.34","1768.34","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO14055","2""X8’ ALUM SOFIT CONT VENT WHT","","10","10","73.70","73.70","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO14249","2""X8’ ALUM SOFIT","","10","10","72.80","72.80","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO14691","1-3/4” 16 gauge trim nails","","44","44","374.00","374.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO14698","24” allura smooth vented soffit - primed","","94","94","2846.32","2846.32","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO14724","5/4x8 Allura trim - primed","","482","482","9572.52","9572.52","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO14726","5/4x6 Allura trim - primed","","5","5","74.30","74.30","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO14971","VARIFORM VICTORIA HARBOR 6.5
BEADED IRISH THISTLE","","9","9","157.50","157.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO15019","5.25” smooth Allura terra plank - primed","","150","150","708.00","708.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO15058","EASY 48 - OUTSIDE CORNER","","5","5","94.00","94.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO15059","EASY 40 - OUTSIDE CORNER","","4","4","80.60","80.60","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO15060","EASY 36 - OUTSIDE CORNER","","2","2","50.10","50.10","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO15066","P41- PERFORATED J-TRIM","","5","5","217.00","217.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO15365","Tamlyn Miscellaneus 08","","80","80","2840.00","2840.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO16082","caulking Light Mist Quad Max","","550","550","52217.00","52217.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO16083","caulk Arctic White Quad Max","","550","550","52217.00","52217.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO16158","2""X8’ ALUM SOFIT CONT VENT WHT","","59","59","411.23","411.23","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO16387","8X12X72 TAPER COLUMN W/ Cs & Bs","","2","2","425.50","425.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO16569","1x6x12 yellow pine","","20","20","1440.00","1440.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO16584","Designer Crown Molding (Vinyl) White","","1","1","16.00","16.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO16586","FinishPin 1-1/2x0.075 15ga Straight E-Galv 15M/BX","","5","5","147.25","147.25","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO17617","Woodsman Select 5"" DUTCHLAP","","297","297","23017.50","23017.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO17652","Woodsman Select 5"" Dutchlap","","306","306","23715.00","23715.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO18029","Tyvek Flashing Tape 4in x 75ft","","48","48","1684.80","1684.80","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO18392","1x10x10 Cedar","","42","42","1709.40","1709.40","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO18979","1-3/4X.090 15D EG RG SIDING 9M","","5","5","247.50","247.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO18980","2"" 16G GALV BRAD NAIL 2.5M","","12","12","72.00","72.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO18995","Tyvek Flashing Tape 4in x 75ft","","22","22","1320.00","1320.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20010","Brad 2-1/2in Leg 16ga EG Chisel Spotnails","","8","8","88.00","88.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20177","concrete screws 1/4 x 3-1/4 Hex head","","1","1","1.00","1.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20178","Artic white trim coil","","1","1","2.00","2.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20181","NPST-75 14 Ga Pin Nailer 3","","1","1","385.40","385.40","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20208","1x6x12' T&G","","2","2","47.04","47.04","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20310","1x6x14 T&G","","1","1","27.44","27.44","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20311","1x6x16 T&G","","4","4","125.44","125.44","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20486","Trim per email | 040 Scrap Material | 10' sections (8 sections per sheet)","","242","242","60500.00","60500.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20524","10x12x60 Tapered Column","","1","1","160.00","160.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20635","EZ4 Trim","","6","6","71.94","71.94","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20637","Tyvek Flashing Tape 4in x 75ft","","24","24","898.80","898.80","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20658","1x6x16 Clear Pine","","10","10","195.00","195.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20870","Woodsman Select 5"" Dutchlap - Graphite","","10","10","77.50","77.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20872","Woodsman Select 5"" Dutchlap","","5","5","38.75","38.75","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO20979","DuPont  4”x75’ peel and stick flashing tape","","55","55","495.00","495.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO21067","81272 PVC Columns","","3","3","638.25","638.25","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO21072","FastPlank V-Notch 6"" Plank","","71","71","5709.82","5709.82","0","0","71","0","","","","","No"
"Siding","Special Order","NSSO21073","FastPlank 2 Piece J Trim","","30","30","1617.90","1617.90","0","0","30","0","","","","","No"
"Siding","Special Order","NSSO21074","FastPlank Perforated Starter J","","29","29","1122.30","1122.30","0","0","29","0","","","","","No"
"Siding","Special Order","NSSO21076","FastPlank Plank Clip 100 pcs","","7","7","387.45","387.45","0","0","7","0","","","","","No"
"Siding","Special Order","NSSO21077","Plank Connectors 50 pcs w/screws","","1","1","34.59","34.59","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO21078","P30 Plank Backer (50 per bag)","","7","7","169.54","169.54","0","0","7","0","","","","","No"
"Siding","Special Order","NSSO21079","FastPlank V-Notch 6"" Plank","","520","520","41818.40","41818.40","0","0","520","0","","","","","No"
"Siding","Special Order","NSSO21080","FastPlank 2 Piece J Trim","","221","221","11918.53","11918.53","0","0","221","0","","","","","No"
"Siding","Special Order","NSSO21082","FastPlank Plank Clip 100 pcs","","47","47","2601.45","2601.45","0","0","47","0","","","","","No"
"Siding","Special Order","NSSO21083","Plank Connectors 50 pcs w/screws","","1","1","34.59","34.59","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO21084","P30 Plank Backer (50 per bag)","","9","9","217.98","217.98","0","0","9","0","","","","","No"
"Siding","Special Order","NSSO21147","8x12x72 Tapered Column","","3","3","638.25","638.25","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO22291","1x8x20 CEDAR","","8","8","400.00","400.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO22378","1x6x16 T&G","","225","225","7056.00","7056.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO22379","1x6x12 T&G","","550","550","11880.00","11880.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO22391","24x30 Non functional","","1","1","68.00","68.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO22435","Set of caps and bases for 10"" Columns","","2","2","28.00","28.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO22549","SWP RS SPF KD 1x06-14 FL TG EM ANB","","10","10","267.70","267.70","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO22847","Brad 2-1/2in Leg 16ga EG Chisel","","1","1","11.00","11.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO23120","Vesta Plank solid HD3 wood grain - 482 Gilded Grain color","","1440","1440","61560.00","61560.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO23182","Vintage Wood - Ash (AWP 1818) Macon Product 81 PANELS A7.1-02,","","72","72","7475.76","7475.76","0","0","72","0","","","","","No"
"Siding","Special Order","NSSO23184","100 LF/Box - 10 Pcs/Box CONTROL JOINT AS REQ","","1","1","85.93","85.93","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO23185","65 LF/Box - 10 Pcs/Box INSIDE CORNER & VERTICAL TRANSITION AS ARCHITECTURAL STONE","","2","2","124.78","124.78","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO23186","100 LF/Box - 10 Pcs/Box","","2","2","343.76","343.76","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO23187","200 LF/Box - 10mm","","1","1","176.58","176.58","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO23395","Trim | 040 SCLAD Sierra Tan | 10' Section","","30","30","759.00","759.00","0","0","30","0","","","","","No"
"Siding","Special Order","NSSO23584","10-12x6' TPR w/ 12"" Recesspedestal 36"" 9ft Tall","","2","2","797.88","797.88","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO23639","BKT Fypon 18x30x4","","80","80","9523.20","9523.20","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO23685","1x8x12 Cedar","","14","14","472.08","472.08","0","0","0","0","","","","","No"
