"05-12-2025","Physical Inventory Report by Department","","Raleigh","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Department","Class","Product Number","Product Description","Product Division","QOH Before","QOH After","Cost Before","Cost After","Count Variance","Cost Variance","QA","QOO","Zone","Shelf","Bin","Aisle","Reorder"
"NS","","EQUIPMENT","Equipment charge","","47","47","0.00","0.00","0","0","48","4","","","","","Yes"
"MSC","Special Order","NSCredit21386","INVOICE CREDIT","","7","7","14539.00","14539.00","0","0","0","0","","","","","No"
"MSC","Special Order","NSCredit08786","Invoice Credit","","1149","1149","0.00","0.00","0","0","0","0","","","","","No"
"MSC","Special Order","NSCredit08626","Credit invoice 120-108212","","11","11","-26389.00","-26389.00","0","0","0","0","","","","","No"
"MSC","Special Order","NSCredit08623","Return Credit for Invoice","","4","4","9596.00","9596.00","0","0","0","0","","","","","No"
"MSC","Special Order","NSCredit08482","Back Charge Credit","","383","383","0.00","0.00","0","0","0","0","","","","","No"
"Siding","","COILSNO","STOCK ONLY SMOOTH METAL TRIM COIL SNOW","","1777","1777","103066.00","103066.00","0","0","2508","737","","","","","Yes"
"Siding","Special Order","NSSO00345","MASTIC OVATION DUTCH LAP 4.5 DEEP GRANITE","","33","33","2084.61","2084.61","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00423","1x10x10 Cedar","","36","36","1170.00","1170.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00424","1x4x10 Cedar","","45","45","517.50","517.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00425","1x6x10 Cedar","","65","65","1137.50","1137.50","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00513","1x4 PVC GABLE PEDIMENT SPOKED 5' BASE 12/12 PITCH WITHOUT TAIL","","1","1","130.00","130.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01097","1X6X18 Cedar","","9","9","275.40","275.40","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01103","7-1/4"" Smooth Lap Primed Hardie","","141","141","1119.54","1119.54","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01108","1X4X8 CEDAR","","1","1","8.80","8.80","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01109","1X6X8 CEDAR","","1","1","13.60","13.60","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01110","1X4X8 CEDAR","","1","1","8.80","8.80","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01111","1X6X8 CEDAR","","1","1","13.60","13.60","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO01118","MASTIC OVATION DUTCH LAP 4.5 DEEP GRANITE","","32","32","2378.24","2378.24","0","0","0","0","","","","","No"
